DATE,CC#,DISTRICT,LOCATION,TYPE,X (LONG),Y (LAT),COORDINATES
01/02/2013 12:00:00 AM,134A00685,NED,3200 Cliftmont Rd,Shooting,-76.5737176216,39.3189978152,"(39.3189978152, -76.5737176216)"
01/13/2013 12:00:00 AM,135A05457,ND,5415 York Rd,Shooting,-76.6098638869,39.356147524,"(39.3561475240, -76.6098638869)"
01/25/2013 12:00:00 AM,133A11199,ED,500 N Madeira St,Shooting,-76.5858118569,39.2970004089,"(39.2970004089, -76.5858118569)"
01/28/2013 12:00:00 AM,138A12326,SWD,3300 Edmondson Ave,Shooting,-76.672821462,39.2941972073,"(39.2941972073, -76.6728214620)"
01/29/2013 12:00:00 AM,136A12790,NWD,5002 Pimlico Rd,Shooting,-76.6693065652,39.3501473134,"(39.3501473134, -76.6693065652)"
03/28/2013 12:00:00 AM,132C12587,SED,6706 Danville Ave,Shooting,-76.5295020443,39.2769560811,"(39.2769560811, -76.5295020443)"
04/18/2013 12:00:00 AM,132D08633,SED,3400 Foster Ave,Shooting,-76.5687489914,39.2845448684,"(39.2845448684, -76.5687489914)"
04/22/2013 12:00:00 AM,137D10409,WD,2700 Edmondson Ave,Shooting,-76.6615113213,39.2945651064,"(39.2945651064, -76.6615113213)"
05/25/2013 12:00:00 AM,139E12127,SD,400 S Poppleton St,Shooting,-76.6318639809,39.2835928182,"(39.2835928182, -76.6318639809)"
08/13/2013 12:00:00 AM,138H08647,SWD,3400 Old Frederick Rd,Shooting,-76.6919883658,39.2901480834,"(39.2901480834, -76.6919883658)"
09/04/2013 12:00:00 AM,132I01855,SED,200 Spring Ct,Shooting,-76.5976451125,39.2936982641,"(39.2936982641, -76.5976451125)"
10/16/2013 12:00:00 AM,134J07730,NED,3800 Mannasota Ave,Shooting,-76.5658878096,39.3229787344,"(39.3229787344, -76.5658878096)"
01/13/2014 12:00:00 AM,143A00512,ED,1800 E Lanvale St,Shooting,-76.5924739967,39.3097231083,"(39.3097231083, -76.5924739967)"
01/26/2014 12:00:00 AM,142A10366,SED,319 Ballou Ct,Taser,-76.5971603121,39.2871301858,"(39.2871301858, -76.5971603121)"
02/03/2014 12:00:00 AM,143B01019,ED,2800 E Chase St,Shooting,-76.5782287042,39.3038959787,"(39.3038959787, -76.5782287042)"
02/12/2014 12:00:00 AM,146B04997,NWD,2500 Liberty Heights Av,Shooting,-76.6559016477,39.3194713437,"(39.3194713437, -76.6559016477)"
02/12/2014 12:00:00 AM,148B05036,SWD,1801 Spence St,Shooting,-76.6514057908,39.2690968074,"(39.2690968074, -76.6514057908)"
02/21/2014 12:00:00 AM,143B08290,ED,300 Centre St,Shooting,-76.6112062672,39.2965250363,"(39.2965250363, -76.6112062672)"
03/06/2014 12:00:00 AM,145C01988,ND,1200 W Northern Pkwy,Discharge,-76.646306,39.361414,"(39.3614140000, -76.6463060000)"
03/26/2014 12:00:00 AM,144C11108,NED,4200 Anntana Av,Vehicle,-76.5485016616,39.3398457251,"(39.3398457251, -76.5485016616)"
04/04/2014 12:00:00 AM,143D01711,ED,1745 Darley Ave,Fall/Head,-76.592818723,39.314721239,"(39.3147212390, -76.5928187230)"
04/29/2014 12:00:00 AM,201440429M0061 (PA),,"300 Brentwood Ave, York PA",Shooting,0,0,"(0E-10, 0E-10)"
05/07/2014 12:00:00 AM,144E03302,NED,5601 Loch Raven Blvd,Taser / In Custody Death,-76.5885649754,39.359519261,"(39.3595192610, -76.5885649754)"
05/16/2014 12:00:00 AM,143E07568,ED,1200 Ensor St,Shooting,-76.6036213583,39.3043247472,"(39.3043247472, -76.6036213583)"
05/20/2014 12:00:00 AM,141E05083,CD,1800 N Calvert St,Vehicle,-76.613741,39.309996,"(39.3099960000, -76.6137410000)"
05/27/2014 12:00:00 AM,143E13006,ED,1100 E Preston St,Vehicle,-76.6028881527,39.3050529119,"(39.3050529119, -76.6028881527)"
06/06/2014 12:00:00 AM,147F00214,WD,100 N Fremont Ave,Shooting,-76.629581,39.29012,"(39.2901200000, -76.6295810000)"
06/13/2014 12:00:00 AM,141F05906,CD,0001 W Preston St,Shooting (Animal),-76.616219,39.30447,"(39.3044700000, -76.6162190000)"
06/15/2014 12:00:00 AM,146F06956,NWD,5000 Beaufort Ave,Shooting,-76.677826,39.345395,"(39.3453950000, -76.6778260000)"
07/01/2014 12:00:00 AM,147G00258,WD,1300 N Fremont Ave,Vehicle,-76.636964,39.303587,"(39.3035870000, -76.6369640000)"
07/14/2014 12:00:00 AM,141G06338,CD,100 N Front St,Vehicle,-76.605818,39.291045,"(39.2910450000, -76.6058180000)"
07/21/2014 12:00:00 AM,144G08327,NED,4700 Luerssen Ave,Vehicle,-76.561733,39.336603,"(39.3366030000, -76.5617330000)"
08/05/2014 12:00:00 AM,148H01894,SWD,424 Font Hill Ave,Self Inflicted Shooting,-76.663488,39.27871,"(39.2787100000, -76.6634880000)"
08/07/2014 12:00:00 AM,149H02760,SD,1600 Whetstone Way,Head Injury,-76.5995867,39.2693287,"(39.2693287000, -76.5995867000)"
08/17/2014 12:00:00 AM,146H07383,NWD,5200 Florence Ave,Head Injury,-76.679429,39.347766,"(39.3477660000, -76.6794290000)"
08/18/2014 12:00:00 AM,147H07659,WD,1400 W Lexington St,Vehicle,-76.639899,39.290823,"(39.2908230000, -76.6398990000)"
08/20/2014 12:00:00 AM,147H08732,WD,1600 Presbury St,Taser,-76.644298,39.308047,"(39.3080470000, -76.6442980000)"
08/26/2014 12:00:00 AM,148H11351,SWD,600 Poplar Grove St,Head Injury,-76.664961,39.294525,"(39.2945250000, -76.6649610000)"
08/31/2014 12:00:00 AM,147H13740,WD,1400 N Fulton Ave,Vehicle,-76.646210247,39.304276444,"(39.3042764440, -76.6462102470)"
09/09/2014 12:00:00 AM,146I03804,NWD,3300 W Garrison Ave,Discharge,-76.67514837,39.346521879,"(39.3465218790, -76.6751483700)"
09/20/2014 12:00:00 AM,142630057 (Balt. Co.),,3400 Red Rose Farm Rd  MD,Shooting,0,0,"(0E-10, 0E-10)"
09/23/2014 12:00:00 AM,145I10232,ND,3126 Greenmount Ave,Head Injury & Taser,-76.609446648,39.326867619,"(39.3268676190, -76.6094466480)"
11/10/2014 12:00:00 AM,143K02991,ED,700 N Patterson Park Ave,Vehicle,-76.585095927,39.298781444,"(39.2987814440, -76.5850959270)"
11/15/2014 12:00:00 AM,149K06078,SD,500 S Stricker St,Discharge,-76.6406369,39.2828905,"(39.2828905000, -76.6406369000)"
11/23/2014 12:00:00 AM,143K09332,ED,2200 Kirk Ave,Vehicle,-76.605594747,39.314761337,"(39.3147613370, -76.6055947470)"
12/28/2014 12:00:00 AM,143L10680,ED,3001 E Monument St,Shooting,-76.575125777,39.299098264,"(39.2990982640, -76.5751257770)"
01/22/2015 12:00:00 AM,156A05819,NWD,4311 Pimlico RD,Shooting,-76.6636851,39.3395501,"(39.3395501000, -76.6636851000)"
01/24/2015 12:00:00 AM,159A09331,SD,1925 McHenry St,Shooting,-76.6476982,39.2840139,"(39.2840139000, -76.6476982000)"
02/07/2015 12:00:00 AM,159B02808,SD,1100 Race St,Discharge,-76.6165186,39.276553,"(39.2765530000, -76.6165186000)"
02/14/2015 12:00:00 AM,155B05510,ND,2201 W Cold Spring Ln,In-Custody Death,-76.6519798,39.3428145,"(39.3428145000, -76.6519798000)"
02/23/2015 12:00:00 AM,157B08089,WD,1000 N Fremont Ave,Shooting,-76.6351088,39.3002917,"(39.3002917000, -76.6351088000)"
03/27/2015 12:00:00 AM,158C20328,SWD,4403 Frederick Ave,Discharge,-76.6875433,39.2802577,"(39.2802577000, -76.6875433000)"
04/04/2015 12:00:00 AM,150941707 (Balto. Co.),,"1500 Williams Ave Essex, MD",Impact Weapon,0,0,"(0E-10, 0E-10)"
04/05/2015 12:00:00 AM,152D02117,SED,3200 Elliott St,In Custody Injury,-76.570918,39.279542,"(39.2795420000, -76.5709180000)"
04/12/2015 12:00:00 AM,157D04793,WD,1034 N Mount St,In Custody Death,-76.64495,39.300588,"(39.3005880000, -76.6449500000)"
04/18/2015 12:00:00 AM,158D07705,SWD,2700 Baker St.,Shooting,-76.6610103,39.306306,"(39.3063060000, -76.6610103000)"
06/07/2015 12:00:00 AM,156F02915,NWD,5200 Eleanora Ave,Shooting,-76.687355,39.3442182,"(39.3442182000, -76.6873550000)"
06/28/2015 12:00:00 AM,158F12891,SWD,3436 Wilkens Ave,Shooting,-76.6756844,39.2729298,"(39.2729298000, -76.6756844000)"
